epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,334.829,0.77301,0.48717,0.96723,0.99417,0.99898,0.995,0.82661,0.7331,0.37188,0.95902,0.000897557,0.000897557,0.000897557
44,342.274,0.73318,0.45209,0.96734,0.99422,0.99915,0.995,0.81346,0.77372,0.40648,0.98186,0.00087595,0.00087595,0.00087595
45,349.83,0.74136,0.45304,0.95512,0.99657,1,0.995,0.83203,0.72509,0.39226,0.96043,0.00085419,0.00085419,0.00085419
46,357.334,0.69116,0.42056,0.93304,0.99628,1,0.995,0.86004,0.6726,0.35096,0.93465,0.0008323,0.0008323,0.0008323
47,365.175,0.68226,0.40312,0.9354,0.99676,1,0.995,0.83902,0.70254,0.34255,0.95123,0.0008103,0.0008103,0.0008103
48,372.777,0.67435,0.40651,0.9322,0.99646,1,0.995,0.84359,0.69337,0.33989,0.95128,0.000788213,0.000788213,0.000788213
49,380.301,0.68712,0.4077,0.94614,0.99621,1,0.995,0.83547,0.69597,0.34448,0.94306,0.00076606,0.00076606,0.00076606
50,387.801,0.70406,0.42056,0.94334,0.99699,1,0.995,0.83547,0.71397,0.33557,0.94224,0.000743864,0.000743864,0.000743864
51,395.454,0.72068,0.41483,0.96266,0.99523,1,0.995,0.84603,0.69353,0.32466,0.95104,0.000721645,0.000721645,0.000721645
52,403.06,0.68613,0.404,0.93888,0.99528,1,0.995,0.83848,0.73027,0.33371,0.95697,0.000699426,0.000699426,0.000699426
53,410.533,0.69748,0.41429,0.95002,0.99371,0.99904,0.995,0.83782,0.72025,0.34537,0.96682,0.00067723,0.00067723,0.00067723
54,418.062,0.674,0.3972,0.94073,0.99678,1,0.995,0.83986,0.74196,0.34446,0.9652,0.000655077,0.000655077,0.000655077
55,425.819,0.67575,0.39304,0.9365,0.9969,1,0.995,0.84162,0.73495,0.3355,0.95889,0.00063299,0.00063299,0.00063299
56,433.414,0.66785,0.38128,0.92355,0.99754,1,0.995,0.84641,0.70007,0.33402,0.94008,0.00061099,0.00061099,0.00061099
57,441.089,0.65414,0.37939,0.93067,0.997,1,0.995,0.83691,0.72119,0.3285,0.95332,0.0005891,0.0005891,0.0005891
58,448.825,0.68028,0.39337,0.93873,0.99683,1,0.995,0.8265,0.73477,0.3315,0.96274,0.00056734,0.00056734,0.00056734
59,456.627,0.63849,0.37825,0.9274,0.99756,1,0.995,0.83913,0.70604,0.31905,0.94511,0.000545733,0.000545733,0.000545733
60,464.252,0.61024,0.36411,0.92392,0.9961,1,0.995,0.83598,0.70763,0.31734,0.94579,0.000524299,0.000524299,0.000524299
61,471.842,0.66033,0.38485,0.94982,0.99686,1,0.995,0.83597,0.72352,0.32291,0.96675,0.00050306,0.00050306,0.00050306
62,479.511,0.62987,0.36017,0.92089,0.99724,1,0.995,0.83946,0.69743,0.3121,0.9454,0.000482037,0.000482037,0.000482037
63,487.279,0.63747,0.36608,0.92877,0.99432,1,0.995,0.84929,0.67675,0.31518,0.9408,0.00046125,0.00046125,0.00046125
64,495.047,0.64735,0.37515,0.92944,0.996,1,0.995,0.85267,0.67324,0.30255,0.93378,0.00044072,0.00044072,0.00044072
65,502.647,0.62435,0.34985,0.91166,0.99614,0.99976,0.995,0.86059,0.6473,0.29606,0.9215,0.000420468,0.000420468,0.000420468
66,510.241,0.59844,0.35109,0.91277,0.9953,1,0.995,0.85042,0.67815,0.31096,0.93684,0.000400513,0.000400513,0.000400513
67,518.007,0.60983,0.34642,0.9122,0.99733,1,0.995,0.84815,0.69471,0.30449,0.94279,0.000380874,0.000380874,0.000380874
68,525.576,0.61394,0.35254,0.91875,0.99562,1,0.995,0.85003,0.69183,0.30339,0.94465,0.000361572,0.000361572,0.000361572
69,533.075,0.59295,0.35386,0.92146,0.99457,0.99957,0.995,0.83958,0.70454,0.30298,0.94907,0.000342625,0.000342625,0.000342625
70,540.672,0.59752,0.33412,0.89775,0.99541,1,0.995,0.84776,0.71244,0.29994,0.95349,0.000324053,0.000324053,0.000324053
71,548.339,0.59826,0.3426,0.90132,0.99664,1,0.995,0.85263,0.69831,0.29999,0.95044,0.000305872,0.000305872,0.000305872
72,556.036,0.594,0.3515,0.91237,0.99686,1,0.995,0.85254,0.70776,0.29756,0.9561,0.000288102,0.000288102,0.000288102
73,563.548,0.5844,0.34,0.90267,0.99737,1,0.995,0.85393,0.68978,0.29249,0.94575,0.00027076,0.00027076,0.00027076
74,571.157,0.58803,0.33483,0.90272,0.99757,1,0.995,0.85394,0.69144,0.28777,0.93924,0.000253863,0.000253863,0.000253863
75,578.878,0.57771,0.32839,0.90066,0.99715,1,0.995,0.84532,0.69948,0.29386,0.94053,0.000237427,0.000237427,0.000237427
76,586.467,0.58904,0.32864,0.90804,0.99683,1,0.995,0.83977,0.69914,0.2967,0.94145,0.000221469,0.000221469,0.000221469
77,593.993,0.60651,0.3387,0.90355,0.99655,1,0.995,0.84033,0.70786,0.29342,0.94824,0.000206005,0.000206005,0.000206005
78,601.533,0.58454,0.32903,0.9225,0.99714,1,0.995,0.84926,0.69449,0.28997,0.94454,0.00019105,0.00019105,0.00019105
79,609.281,0.58718,0.33247,0.93485,0.99688,1,0.995,0.85063,0.69161,0.2917,0.94065,0.000176619,0.000176619,0.000176619
80,616.874,0.57068,0.33231,0.89457,0.99689,1,0.995,0.85097,0.69298,0.29405,0.93851,0.000162725,0.000162725,0.000162725
81,624.436,0.56579,0.3196,0.90315,0.99613,1,0.995,0.8521,0.69486,0.29322,0.93682,0.000149383,0.000149383,0.000149383
82,631.971,0.54698,0.31344,0.88618,0.9965,1,0.995,0.85453,0.70453,0.29568,0.94138,0.000136605,0.000136605,0.000136605
83,639.703,0.56448,0.31735,0.89352,0.99708,1,0.995,0.85545,0.69779,0.2972,0.94163,0.000124405,0.000124405,0.000124405
84,647.295,0.56894,0.30664,0.91154,0.99735,1,0.995,0.85092,0.69404,0.2964,0.94084,0.000112795,0.000112795,0.000112795
85,654.914,0.52661,0.30764,0.88327,0.99738,1,0.995,0.8466,0.7023,0.29546,0.94449,0.000101785,0.000101785,0.000101785
86,662.473,0.56318,0.32037,0.90006,0.99712,1,0.995,0.84761,0.68975,0.28643,0.9395,9.13871e-05,9.13871e-05,9.13871e-05
87,670.255,0.55495,0.31718,0.88537,0.99683,1,0.995,0.84493,0.68166,0.28208,0.93696,8.16111e-05,8.16111e-05,8.16111e-05
88,677.788,0.54717,0.30179,0.89332,0.99685,1,0.995,0.85424,0.68241,0.28372,0.93695,7.24667e-05,7.24667e-05,7.24667e-05
89,685.322,0.53758,0.29402,0.90527,0.9969,1,0.995,0.85855,0.68534,0.28382,0.93538,6.3963e-05,6.3963e-05,6.3963e-05
90,693.054,0.57599,0.32537,0.91808,0.99695,1,0.995,0.86044,0.69158,0.28451,0.93664,5.61083e-05,5.61083e-05,5.61083e-05
91,700.664,0.51431,0.28502,0.87447,0.99699,1,0.995,0.84661,0.69425,0.28806,0.94136,4.89104e-05,4.89104e-05,4.89104e-05
92,708.011,0.50198,0.27263,0.87551,0.99697,1,0.995,0.83519,0.69801,0.29721,0.94469,4.23765e-05,4.23765e-05,4.23765e-05
93,715.444,0.48541,0.26854,0.87147,0.99696,1,0.995,0.84092,0.69522,0.29748,0.94432,3.65129e-05,3.65129e-05,3.65129e-05
94,722.766,0.49754,0.27682,0.87595,0.99697,1,0.995,0.83703,0.69165,0.29638,0.94277,3.13254e-05,3.13254e-05,3.13254e-05
95,730.185,0.48422,0.26923,0.87511,0.99703,1,0.995,0.83753,0.68371,0.29343,0.94023,2.68192e-05,2.68192e-05,2.68192e-05
96,737.66,0.47484,0.26759,0.88087,0.99714,1,0.995,0.84122,0.67768,0.2908,0.93763,2.29987e-05,2.29987e-05,2.29987e-05
97,745.061,0.47689,0.26824,0.87391,0.99723,1,0.995,0.83964,0.67342,0.28896,0.93597,1.98677e-05,1.98677e-05,1.98677e-05
98,752.375,0.48596,0.26535,0.87754,0.99721,1,0.995,0.83931,0.67179,0.28789,0.9357,1.74293e-05,1.74293e-05,1.74293e-05
99,759.891,0.46465,0.26183,0.85476,0.99723,1,0.995,0.84203,0.67155,0.28692,0.93635,1.56858e-05,1.56858e-05,1.56858e-05
100,767.271,0.46828,0.25789,0.85427,0.99715,1,0.995,0.83967,0.67421,0.2859,0.93794,1.4639e-05,1.4639e-05,1.4639e-05
